2016-10-17T23:31:54.208+0300 W NETWORK  [HostnameCanonicalizationWorker] Failed to obtain name info for: [ (2620:9b::191d:c108, "nodename nor servname provided, or not known"), (2620:9b::191d:c108, "nodename nor servname provided, or not known"), (25.29.193.8, "nodename nor servname provided, or not known"), (25.29.193.8, "nodename nor servname provided, or not known"), (192.168.10.2, "nodename nor servname provided, or not known"), (192.168.10.2, "nodename nor servname provided, or not known") ]
2016-10-17T23:47:02.202+0300 W NETWORK  [HostnameCanonicalizationWorker] Failed to obtain name info for: [ (2620:9b::191d:c108, "nodename nor servname provided, or not known"), (2620:9b::191d:c108, "nodename nor servname provided, or not known"), (25.29.193.8, "nodename nor servname provided, or not known"), (25.29.193.8, "nodename nor servname provided, or not known"), (192.168.10.2, "nodename nor servname provided, or not known"), (192.168.10.2, "nodename nor servname provided, or not known") ]
2016-10-18T00:02:09.553+0300 W NETWORK  [HostnameCanonicalizationWorker] Failed to obtain name info for: [ (2620:9b::191d:c108, "nodename nor servname provided, or not known"), (2620:9b::191d:c108, "nodename nor servname provided, or not known"), (25.29.193.8, "nodename nor servname provided, or not known"), (25.29.193.8, "nodename nor servname provided, or not known"), (192.168.10.2, "nodename nor servname provided, or not known"), (192.168.10.2, "nodename nor servname provided, or not known") ]
2016-10-18T00:17:16.968+0300 W NETWORK  [HostnameCanonicalizationWorker] Failed to obtain name info for: [ (2620:9b::191d:c108, "nodename nor servname provided, or not known"), (2620:9b::191d:c108, "nodename nor servname provided, or not known"), (25.29.193.8, "nodename nor servname provided, or not known"), (25.29.193.8, "nodename nor servname provided, or not known"), (192.168.10.2, "nodename nor servname provided, or not known"), (192.168.10.2, "nodename nor servname provided, or not known") ]
2016-10-18T00:32:24.214+0300 W NETWORK  [HostnameCanonicalizationWorker] Failed to obtain name info for: [ (2620:9b::191d:c108, "nodename nor servname provided, or not known"), (2620:9b::191d:c108, "nodename nor servname provided, or not known"), (25.29.193.8, "nodename nor servname provided, or not known"), (25.29.193.8, "nodename nor servname provided, or not known"), (192.168.10.2, "nodename nor servname provided, or not known"), (192.168.10.2, "nodename nor servname provided, or not known") ]
2016-10-18T00:47:31.917+0300 W NETWORK  [HostnameCanonicalizationWorker] Failed to obtain name info for: [ (2620:9b::191d:c108, "nodename nor servname provided, or not known"), (2620:9b::191d:c108, "nodename nor servname provided, or not known"), (25.29.193.8, "nodename nor servname provided, or not known"), (25.29.193.8, "nodename nor servname provided, or not known"), (192.168.10.2, "nodename nor servname provided, or not known"), (192.168.10.2, "nodename nor servname provided, or not known") ]
2016-10-18T01:02:39.335+0300 W NETWORK  [HostnameCanonicalizationWorker] Failed to obtain name info for: [ (2620:9b::191d:c108, "nodename nor servname provided, or not known"), (2620:9b::191d:c108, "nodename nor servname provided, or not known"), (25.29.193.8, "nodename nor servname provided, or not known"), (25.29.193.8, "nodename nor servname provided, or not known"), (192.168.10.2, "nodename nor servname provided, or not known"), (192.168.10.2, "nodename nor servname provided, or not known") ]
2016-10-18T01:17:47.206+0300 W NETWORK  [HostnameCanonicalizationWorker] Failed to obtain name info for: [ (2620:9b::191d:c108, "nodename nor servname provided, or not known"), (2620:9b::191d:c108, "nodename nor servname provided, or not known"), (25.29.193.8, "nodename nor servname provided, or not known"), (25.29.193.8, "nodename nor servname provided, or not known"), (192.168.10.2, "nodename nor servname provided, or not known"), (192.168.10.2, "nodename nor servname provided, or not known") ]
2016-10-18T01:32:54.366+0300 W NETWORK  [HostnameCanonicalizationWorker] Failed to obtain name info for: [ (2620:9b::191d:c108, "nodename nor servname provided, or not known"), (2620:9b::191d:c108, "nodename nor servname provided, or not known"), (25.29.193.8, "nodename nor servname provided, or not known"), (25.29.193.8, "nodename nor servname provided, or not known"), (192.168.10.2, "nodename nor servname provided, or not known"), (192.168.10.2, "nodename nor servname provided, or not known") ]
2016-10-18T01:48:03.015+0300 W NETWORK  [HostnameCanonicalizationWorker] Failed to obtain name info for: [ (2620:9b::191d:c108, "nodename nor servname provided, or not known"), (2620:9b::191d:c108, "nodename nor servname provided, or not known"), (25.29.193.8, "nodename nor servname provided, or not known"), (25.29.193.8, "nodename nor servname provided, or not known"), (192.168.10.2, "nodename nor servname provided, or not known"), (192.168.10.2, "nodename nor servname provided, or not known") ]
2016-10-18T02:03:10.195+0300 W NETWORK  [HostnameCanonicalizationWorker] Failed to obtain name info for: [ (2620:9b::191d:c108, "nodename nor servname provided, or not known"), (2620:9b::191d:c108, "nodename nor servname provided, or not known"), (25.29.193.8, "nodename nor servname provided, or not known"), (25.29.193.8, "nodename nor servname provided, or not known"), (192.168.10.2, "nodename nor servname provided, or not known"), (192.168.10.2, "nodename nor servname provided, or not known") ]
2016-10-18T02:03:41.924+0300 I CONTROL  [signalProcessingThread] got signal 15 (Terminated: 15), will terminate after current cmd ends
2016-10-18T02:03:41.929+0300 I FTDC     [signalProcessingThread] Shutting down full-time diagnostic data capture
2016-10-18T02:03:41.956+0300 I CONTROL  [signalProcessingThread] now exiting
2016-10-18T02:03:41.956+0300 I NETWORK  [signalProcessingThread] shutdown: going to close listening sockets...
2016-10-18T02:03:41.956+0300 I NETWORK  [signalProcessingThread] closing listening socket: 6
2016-10-18T02:03:41.956+0300 I NETWORK  [signalProcessingThread] closing listening socket: 7
2016-10-18T02:03:41.956+0300 I NETWORK  [signalProcessingThread] removing socket file: /tmp/mongodb-27017.sock
2016-10-18T02:03:41.958+0300 I NETWORK  [signalProcessingThread] shutdown: going to flush diaglog...
2016-10-18T02:03:41.958+0300 I NETWORK  [signalProcessingThread] shutdown: going to close sockets...
2016-10-18T02:03:41.959+0300 I STORAGE  [signalProcessingThread] WiredTigerKVEngine shutting down
2016-10-18T02:03:42.152+0300 I STORAGE  [signalProcessingThread] shutdown: removing fs lock...
